num|territorio|municipio|uf|n_com|familias|area_terr|pct|titulos|conf
1|Boa Vista|Oriximiná|PA|1|112|1125.0341|100|INCRA:1125.0341:1995-11-20|alta
2|Água Fria|Oriximiná|PA|1|15|557.1355|100|INCRA:557.1355:1996-11-20|alta
3|Pacoval de Alenquer|Alenquer|PA|1|115|7472.8790|100|INCRA:7472.8790:1996-11-20|alta
4|Trombetas|Oriximiná|PA|7|138|80887.0941|100|ITERPA**:57024.6216:1997-11-20;INCRA:23862.4725:1997-11-20|alta
5|Itamaoari|Cachoeira do Piriá|PA|1|33|5377.6028|100|INCRA:5377.6028:1998-09-07|alta
6|Erepecuru|Oriximiná e Óbidos|PA|7|154|231610.2940|100|INCRA:71150.8867:1998-12-08;ITERPA**:160459.4072:2000-05-12|alta
7|Mangal e Barro Vermelho|Sítio do Mato|BA|1|295|9195.5182|2|INTERBA/FCP:153.8043:1999-01-30|alta
8|Campinho da Independência|Paraty|RJ|1|59|287.9461|100|SEHAF:287.9461:1999-03-19|alta
9|Abacatal-Aurá|Ananindeua|PA|1|53|583.2838|100|ITERPA:317.9366:1999-05-13;ITERPA**:265.3472:2008-12-02|alta
10|Eira dos Coqueiros|Codó|MA|1|35|1011.8271|100|ITERMA:1011.8271:1999-08-20|alta
11|Mocorongo|Codó|MA|1|24|162.6254|100|ITERMA:162.6254:1999-08-20|alta
12|Santo Antonio dos Pretos|Codó|MA|1|102|2139.5500|100|ITERMA:2139.5500:1999-08-20|alta
13|Curiau|Macapá|AP|1|108|3321.8931|100|FCP:3321.8931:1999-12-03|alta
14|Barra do Brumado|Rio de Contas|BA|2|148|1339.2768|100|CDA/FCP:1339.2768:1999-12-22|alta
15|Cabeceiras|Óbidos|PA|6|445|17189.6939|100|FCP:17189.6939:2000-05-08|alta
16|Gurupá|Gurupá|PA|8|300|83437.1287|100|ITERPA:83437.1287:2000-07-20|alta
17|Maria Ribeira|Gurupá|PA|1|32|2031.8727|100|ITERPA:2031.8727:2000-11-20|alta
18|Porto dos Pilões|Iporanga|SP|1|51|5908.6824|100|ITESP*:5908.6824:2001-01-15|alta
19|São Pedro|Eldorado e Iporanga|SP|1|39|4686.9803|97|ITESP*:4558.1986:2001-01-15|alta
20|Maria Rosa|Iporanga|SP|1|20|3375.6582|100|ITESP*:3375.6582:2001-01-15|alta
21|Laranjituba e África|Moju|PA|2|48|1226.2278|100|ITERPA:118.0441:2001-12-04;ITERPA**:1108.1837:2008-12-02|alta
22|Camiranga|Cachoeira do Piriá|PA|1|39|320.6121|100|ITERPA:320.6121:2002-01-16|alta
23|Ilhas de Abaetetuba|Abaetetuba|PA|1|116|588.1670|100|ITERPA:588.1670:2002-05-05|alta
24|Ilhas de Abaetetuba|Abaetetuba|PA|9|701|9076.1909|100|ITERPA:9076.1909:2002-06-05|alta
25|Bailique|Oeiras do Pará e Baião|PA|4|112|7297.6910|100|ITERPA:7297.6910:2002-07-19|alta
26|Jurussaca|Traquateua|PA|1|45|200.9875|100|ITERPA:200.9875:2002-09-14|alta
27|Santa Rita de Barreiras|São Miguel do Guamá|PA|1|35|371.3032|100|ITERPA:371.3032:2002-09-22|alta
28|Santa Fé e Santo António|Baião|PA|2|28|830.8776|100|ITERPA:830.8776:2002-09-29|alta
29|Igarapé Preto|Oeiras do Pará, Baião, Mocajuba e Bagre|PA|12|565|17357.0206|100|ITERPA:17357.0206:2002-09-29|alta
30|Narcisa|Capitão Poço|PA|1|7|618.9320|19|INCRA:120.0530:2002-11-14|alta
31|Guajará Miri|Acará|PA|1|70|1024.1954|100|ITERPA:1024.1954:2002-11-26|alta
32|São José de Icatu|Baião|PA|1|80|1636.6122|100|ITERPA:1636.6122:2002-11-30|alta
33|Jenipapo|Caxias|MA|1|74|558.5242|100|ITERMA:558.5242:2002-11-01|alta
